data_key,urut_nasional,urut_provinsi,rerata,npsn,sekolah,provinsi,kota_kab,jenis
2001,1,1,"601,683",20109933,SMAN UNGGULAN M.H. THAMRIN More..,DKI Jakarta,Kota Jakarta Timur,SMA
2002,2,1,"599,654",20623314,MAN INSAN CENDEKIA SERPONG More..,Banten,Kota Tangerang Selatan,MA 
2003,3,1,"598,523",10263538,SMAS UNGGUL DEL More..,Sumatera Utara,Kab. Toba Samosir,SMA
2004,4,2,"594,865",20102568,SMAN 8 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2005,5,1,"594,605",20532248,SMAN 5 SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
2006,6,3,"594,437",20101306,SMAS 1 KRISTEN BPK PENABUR More..,DKI Jakarta,Kota Jakarta Barat,SMA
2007,7,1,"592,52",20219730,SMAS BPK 1 PENABUR BANDUNG More..,Jawa Barat,Kota Bandung,SMA
2008,8,4,"589,811",20104413,SMAS DIAN HARAPAN More..,DKI Jakarta,Kota Jakarta Barat,SMA
2009,9,1,"588,002",20403174,SMAN 1 YOGYAKARTA More..,DI Yogyakarta,Kota Yogyakarta,SMA
2010,10,2,"587,81",20532145,SMA KATOLIK ST.LOUIS 1 More..,Jawa Timur,Kota Surabaya,SMA
2011,11,1,"586,834",30315142,SMAN BANUA KAL SEL More..,Kalimantan Selatan,Kab. Banjar,SMA
2012,12,2,"585,96",20403178,SMAN 3 YOGYAKARTA More..,DI Yogyakarta,Kota Yogyakarta,SMA
2013,13,5,"585,437",20107319,SMAN 28 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2014,14,6,"585,048",20103301,SMAN 81 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2015,15,3,"584,729",20532136,SMAS KRISTEN PETRA 2 SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
2016,16,7,"584,684",20100170,SMAS KANISIUS JAKARTA More..,DKI Jakarta,Kota Jakarta Pusat,SMA
2017,17,2,"584,01",20613520,SMAS SANTA LAURENSIA More..,Banten,Kota Tangerang Selatan,SMA
2018,18,3,"583,676",20403161,SMAN 8 YOGYAKARTA More..,DI Yogyakarta,Kota Yogyakarta,SMA
2019,19,2,"582,568",20219731,SMAS BINA BHAKTI 1 More..,Jawa Barat,Kota Bandung,SMA
2020,20,8,"582,07",20110335,SMAS KRISTEN 6 PENABUR More..,DKI Jakarta,Kota Jakarta Utara,SMA
2021,21,9,"581,589",20100187,SMAS KRISTEN 3 PENABUR JAKARTA More..,DKI Jakarta,Kota Jakarta Pusat,SMA
2022,22,10,"581,585",20100601,SMAS KRISTEN 5 BPK PENABUR More..,DKI Jakarta,Kota Jakarta Utara,SMA
2023,23,3,"581,123",20219263,SMAS ALLOYSIUS 1 More..,Jawa Barat,Kota Bandung,SMA
2024,24,3,"580,709",20603357,SMAS KRISTEN BPK PENABUR GADING SERPONG More..,Banten,Kab. Tangerang,SMA
2025,25,11,"580,44",20108383,SMAS SANTA URSULA More..,DKI Jakarta,Kota Jakarta Pusat,SMA
2026,26,12,"580,165",20109467,SMAS KRISTEN IPEKA PURI INDAH More..,DKI Jakarta,Kota Jakarta Barat,SMA
2027,27,4,"579,837",20603376,SMAS SANTA URSULA BSD More..,Banten,Kota Tangerang Selatan,SMA
2028,28,13,579,20107313,SMA LABSCHOOL KEBAYORAN More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2029,29,14,"577,815",20102214,SMAN 34 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2030,30,5,"577,767",20616061,SMAS PAHOA More..,Banten,Kab. Tangerang,SMA
2031,31,4,"577,078",20403177,SMAN 2 YOGYAKARTA More..,DI Yogyakarta,Kota Yogyakarta,SMA
2032,32,6,"576,357",20616291,SMAS ATHALIA More..,Banten,Kota Tangerang Selatan,SMA
2033,33,1,"576,114",20328915,SMAS KOLESE LOYOLA More..,Jawa Tengah,Kota Semarang,SMA
2034,34,2,"575,833",20328895,SMA NEGERI 03 More..,Jawa Tengah,Kota Semarang,SMA
